ID	POP	EUR	EAS	AMR	SAS	AFR	tissue
TCGA-04-1341	EUR	0.992244	1e-05	1e-05	0.007726	1e-05	Blood Derived Normal
TCGA-04-1343	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-04-1362	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-04-1364	EUR	0.999201	0.000769	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-04-1365	EUR	0.999599	0.000371	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-04-1367	EUR	0.997159	1e-05	0.002609	0.000212	1e-05	Blood Derived Normal
TCGA-04-1514	EUR	0.911836	0.018904	1.3e-05	1e-05	0.069237	Blood Derived Normal
TCGA-04-1525	EUR	0.997844	0.002126	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-04-1530	EUR	0.997856	1e-05	0.001304	1e-05	0.00082	Blood Derived Normal
TCGA-04-1542	EUR	0.999011	1e-05	1e-05	0.000959	1e-05	Blood Derived Normal
TCGA-04-1655	EUR	0.977011	0.000862	0.022108	1e-05	1e-05	Blood Derived Normal
TCGA-05-4244	EUR	0.893103	1e-05	1e-05	0.082254	0.024623	Blood Derived Normal
TCGA-05-4249	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-05-4250	EUR	0.993646	1e-05	1e-05	0.006324	1e-05	Blood Derived Normal
TCGA-05-4382	EUR	0.996173	0.003244	1e-05	1e-05	0.000563	Blood Derived Normal
TCGA-05-4384	EUR	0.992655	0.002416	0.003329	1e-05	0.001589	Blood Derived Normal
TCGA-05-4389	EUR	0.947119	0.001647	1e-05	0.01635	0.034874	Blood Derived Normal
TCGA-05-4390	EUR	0.992048	1e-05	1e-05	1e-05	0.007922	Blood Derived Normal
TCGA-05-4395	EUR	0.997465	1e-05	1e-05	1e-05	0.002505	Blood Derived Normal
TCGA-05-4396	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-05-4397	EAS	1e-05	0.995007	1e-05	0.004963	1e-05	Blood Derived Normal
TCGA-05-4398	EUR	0.996608	1e-05	1e-05	0.003362	1e-05	Blood Derived Normal
TCGA-05-4402	EUR	0.991056	0.004917	0.004007	1e-05	1e-05	Blood Derived Normal
TCGA-05-4403	EUR	0.96535	0.002176	0.002231	0.026756	0.003487	Blood Derived Normal
TCGA-05-4405	EUR	0.983115	0.000936	0.014806	0.000791	0.000352	Blood Derived Normal
TCGA-05-4410	EUR	0.991759	1e-05	0.007986	1e-05	0.000235	Blood Derived Normal
TCGA-05-4415	EUR	0.994923	1e-05	1e-05	0.005047	1e-05	Blood Derived Normal
TCGA-05-4417	EUR	0.997706	0.002264	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-05-4418	EUR	0.975341	0.001801	1e-05	0.022838	1e-05	Blood Derived Normal
TCGA-05-4420	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-05-4422	EUR	0.997532	0.002438	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-05-4424	EUR	0.957087	0.011585	1e-05	1e-05	0.031308	Blood Derived Normal
TCGA-05-4425	EUR	0.983923	0.000261	0.008146	1e-05	0.00766	Blood Derived Normal
TCGA-05-4426	EUR	0.744882	1e-05	0.014102	0.211844	0.029162	Blood Derived Normal
TCGA-05-4427	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-05-4430	AFR	0.065139	0.004706	1e-05	1e-05	0.930135	Blood Derived Normal
TCGA-05-4432	EUR	0.988784	0.006823	1e-05	1e-05	0.004373	Blood Derived Normal
TCGA-05-4433	EUR	0.994251	0.005719	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-05-4434	EUR	0.999508	0.000462	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-05-5423	EUR	0.991846	0.002445	1e-05	0.005689	1e-05	Blood Derived Normal
TCGA-05-5425	EUR	0.501895	0.103223	0.038717	1e-05	0.356155	Blood Derived Normal
TCGA-05-5428	EUR	0.912684	0.018316	1e-05	1e-05	0.06898	Blood Derived Normal
TCGA-05-5429	EUR	0.95674	0.025939	0.014465	0.002847	1e-05	Blood Derived Normal
TCGA-05-5715	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0119	EUR	0.992987	0.001172	1e-05	1e-05	0.005821	Blood Derived Normal
TCGA-06-0121	AFR	0.263175	0.124007	0.059847	1e-05	0.552961	Blood Derived Normal
TCGA-06-0122	EUR	0.683832	0.064844	0.01349	1e-05	0.237824	Blood Derived Normal
TCGA-06-0122	EUR	0.995162	1e-05	1e-05	0.004303	0.000515	Blood Derived Normal
TCGA-06-0124	EUR	0.973467	1e-05	1e-05	0.02507	0.001443	Blood Derived Normal
TCGA-06-0124	EUR	0.999958	1.2e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0125	EUR	0.99044	1e-05	1e-05	0.00953	1e-05	Blood Derived Normal
TCGA-06-0125	EUR	0.937813	0.018123	0.001771	1e-05	0.042283	Blood Derived Normal
TCGA-06-0126	EUR	0.994967	0.002905	1e-05	1e-05	0.002107	Blood Derived Normal
TCGA-06-0126	EUR	0.675265	0.059279	0.012779	0.029749	0.222928	Blood Derived Normal
TCGA-06-0127	EUR	0.994825	0.004902	1e-05	0.000253	1e-05	Blood Derived Normal
TCGA-06-0128	EUR	0.994944	0.000869	1.2e-05	0.004166	1e-05	Blood Derived Normal
TCGA-06-0128	EUR	0.981911	0.007716	0.005928	0.004434	1e-05	Blood Derived Normal
TCGA-06-0129	EUR	0.890913	0.017423	0.002547	0.024554	0.064563	Blood Derived Normal
TCGA-06-0129	EUR	0.533804	0.070081	1e-05	0.17535	0.220755	Blood Derived Normal
TCGA-06-0130	EUR	0.855066	1e-05	0.006099	0.115557	0.023268	Blood Derived Normal
TCGA-06-0130	EUR	0.993017	1e-05	0.006248	1e-05	0.000715	Blood Derived Normal
TCGA-06-0132	EUR	0.691672	1e-05	0.270417	1e-05	0.037891	Blood Derived Normal
TCGA-06-0133	EUR	0.927673	0.043894	0.010622	0.017801	1e-05	Blood Derived Normal
TCGA-06-0137	EUR	0.90054	0.022883	1e-05	1e-05	0.076557	Blood Derived Normal
TCGA-06-0138	EUR	0.907035	1e-05	1e-05	0.075565	0.01738	Blood Derived Normal
TCGA-06-0139	EUR	0.992054	1e-05	1e-05	0.003479	0.004446	Blood Derived Normal
TCGA-06-0140	EUR	0.996139	0.000269	0.003124	1e-05	0.000459	Blood Derived Normal
TCGA-06-0141	EUR	0.992346	0.004548	1e-05	1e-05	0.003087	Blood Derived Normal
TCGA-06-0141	EUR	0.916519	0.065405	0.018056	1e-05	1e-05	Blood Derived Normal
TCGA-06-0142	EUR	0.97787	0.019069	1e-05	0.003041	1e-05	Blood Derived Normal
TCGA-06-0143	AMR	0.086361	0.015754	0.887958	0.009918	1e-05	Blood Derived Normal
TCGA-06-0143	AFR	1e-05	1e-05	1e-05	1e-05	0.99996	Blood Derived Normal
TCGA-06-0145	EUR	0.981971	0.007208	1e-05	1e-05	0.010801	Blood Derived Normal
TCGA-06-0147	EUR	0.999014	0.000602	1e-05	1e-05	0.000364	Blood Derived Normal
TCGA-06-0147	EUR	0.852596	0.030349	0.000694	1e-05	0.116351	Blood Derived Normal
TCGA-06-0148	EUR	0.969895	0.00392	0.005217	1e-05	0.020959	Blood Derived Normal
TCGA-06-0148	AFR	0.219416	0.020384	0.00638	1e-05	0.753809	Blood Derived Normal
TCGA-06-0150	EUR	0.996221	0.000581	1e-05	1e-05	0.003177	Blood Derived Normal
TCGA-06-0151	EUR	0.999449	0.000521	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0152	EUR	0.99996	1e-05	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0154	EUR	0.999467	0.000503	1e-05	1e-05	1e-05	Blood Derived Normal
TCGA-06-0155	EUR	0.939308	0.013212	0.002893	1e-05	0.044577	Blood Derived Normal
TCGA-06-0157	EUR	0.986695	0.000145	0.003983	0.007505	0.001673	Blood Derived Normal
TCGA-06-0158	EUR	0.879402	1e-05	1e-05	0.105195	0.015383	Blood Derived Normal
