ID	Tissue	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
TCGA-02-0028	Blood Derived Normal	-0.00463146	-0.00396889	-0.00132684	0.00143591	-0.0024926	0.000695134	-0.00491366	-0.00298294	0.00148481	0.000949506	-0.0138516	5.79217e-05	-0.000670012	-0.00689365	-0.00181434	-0.00155891	-0.00347522	-0.00922173	-0.0205231	-0.00563088
TCGA-02-0033	Blood Derived Normal	0.0243599	-0.00357962	0.00466555	-0.000729086	-0.00201376	-0.00167002	0.000208222	0.00315737	-0.00130108	0.00796133	-0.000478087	0.00673975	-0.00021432	8.73489e-05	0.000680627	0.00534315	-0.00579675	-0.00665273	0.00402105	-0.00134878
TCGA-02-0034	Blood Derived Normal	-0.00472755	-0.00394007	0.000577924	0.00147941	-0.00201924	-0.000227069	-0.00413101	-0.00164727	0.00311907	-0.000989342	-0.0188261	-8.33737e-05	-0.00012136	0.00117061	-0.00147362	-0.00134492	0.00146948	-0.00139726	-0.00234481	0.00494153
TCGA-02-0037	Blood Derived Normal	-0.00479805	-0.00386657	9.63866e-05	0.00121158	-0.0019517	-0.000200762	-0.00347729	-0.00236051	0.000512029	-0.00180806	-0.00878848	0.000490425	0.000451688	-0.00162484	-0.000800758	0.000153603	-0.00206443	-0.00153175	-0.00491504	0.00428761
TCGA-02-0038	Blood Derived Normal	-0.00488984	-0.00442572	0.00056839	0.00215626	-0.00243702	-0.000271622	-0.00272042	-0.00159836	0.00194184	-0.00022036	0.0041037	0.000610353	-0.000153592	-0.000231526	-0.00139611	0.000756427	-0.00204801	0.0031832	0.0127861	0.00365941
TCGA-02-0039	Blood Derived Normal	-0.00472548	-0.00417327	-0.000549584	4.08677e-05	-0.00207557	0.000280345	-0.00467994	0.00310039	-0.00208497	-0.00107581	0.00986897	-0.00030937	0.00193061	0.000592996	0.0018566	0.00143528	0.00161598	0.00299825	0.0102131	0.00403162
TCGA-02-0043	Blood Derived Normal	-0.00224473	0.00442511	-0.00191618	-0.0311059	0.000174518	0.000404165	0.0049418	-0.00468129	-0.00553801	-0.00176498	0.00243813	-0.00173632	0.000485678	-0.00639235	0.00157092	0.000904358	5.24288e-05	-0.00481427	-0.0102467	-0.00291801
TCGA-02-0046	Blood Derived Normal	-0.00501292	-0.00409175	0.000808539	0.00121873	-0.00195534	-0.000190612	-0.00287813	-0.00191931	-0.00393003	-0.000198498	0.00731075	-0.00203333	5.5918e-05	0.000265187	-0.000357373	-0.00141978	-0.000183175	0.000405544	-0.0125189	-0.00856367
TCGA-02-0047	Blood Derived Normal	-0.00253371	-0.00385436	0.000154067	-0.000454907	-0.00374354	0.000223167	-0.00353729	-0.00242004	-0.000151442	-0.000194814	0.00926538	-0.00174659	0.00105727	-0.00285037	0.00101498	0.002252	-0.000679334	-0.00307907	0.00124877	-0.00122485
TCGA-02-0048	Blood Derived Normal	-0.00383218	-0.00415299	-0.00836069	0.00160433	-0.00103282	-0.00175062	-0.0066374	0.00564734	-0.000676447	0.0294094	-0.0126566	0.000894044	-0.0295341	-0.00345541	0.00202345	-0.00893961	0.0150964	0.0190158	-0.00600425	0.0006826
